,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.2,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,24.8,0,0.4,0,2.8,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,0.6,4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.8
B-GPE_ORG,0,0,0,0,2.8,0,14.6,0,0,0,0,0,1.4,0,1.2,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0.4,0,0.4,0,0,0,0,0,68.8,1.8,0,0,1.6,0,4
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
B-PER,0,0,0,0,0,0,0.2,0,0.6,0,0,0,0.4,0,40,0,1,0,0.8
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,19.4,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,4.4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0.4,0.4,0,0,0.6,0.4,0.4,0,0,2,0,0,13,4.4,1,0,0,1,0